company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
Our client is top manufacturing company in India and having operations and manufacturing units across India & globally.,"RoleAccounts Manager,",Not Disclosed,2 - 6 years,Hyderabad,"Job description1) MIS -Coordinating with the plants and prepare monthly data for MIS reports  2) Data support for pricing decisions  3) Monthly and quarterly closing of accounts  4) Preparation of required accounting schedule .Required Candidate profileExperience: 2-6 yearsEducation: CA (1st attempt) - Mandatory Required Skills: * Strong MIS Reporting experience with strong experience in generating excel based manual reports* Experience in plant finance & accounts   * GST / Income Tax Auditing (Knowledge in handling auditors) * Knowledge in Costing * Good Accounting experience * SAP exp is mandatory RoleAccounts Manager,Industry TypeAgriculture, Dairy,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :CA in First AttemptDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsFinancial ReportingCostingSAPmis reportingfinancial managementMISaccountingfinance","['Financial Reporting', 'Costing', 'SAP', 'mis reporting', 'financial management', 'MIS', 'accounting', 'finance']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :CA in First Attempt', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeAgriculture, Dairy,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
"Trigent Software, a Microsoft Gold certified partner was established in 1995. We are a CMM Level 4 software Development Company headquartered in Boston (USA) with a development center in Bangalore and Pune.          Top Ranked SharePoint Consulting Company in the US.         Ranked one of the top 5 Outsourced Product development companies by Silicon India.","RoleAccounts Executive/Accountant,","₹ 1,00,000 - 1,75,000 P.A. ",0 - 1 years,Chennai,"Job descriptionGreetings from Trigent Software pvt ltd.Urgent Hiring Fresher Accounts Process Job Description: Fresher Accounts Process    Candidates Should have Good communication skills.2017/1819 Batch pass out candidates are Eligible.Qualification- B.com/Mcom/BBA/MBA    5 days working (Sat and Sun fixed off)    Pick and Drop facility both sidescab facility(Free of Cost)    Shift: Rotational including Night     Salary: 13000 (CTC)Interested candidates can forward their resumes to bhuvaneshwari_s@trigent.com or call7975149523 Call Me: 7975149523Email ID: bhuvaneshwari_s@trigent.comRoleAccounts Executive/Accountant,Industry TypeIT-Software, Software Services,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :Any Graduate in Any Specialization, Graduation Not RequiredPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsBcomSalaryCommunication SkillsAccounting","['Bcom', 'Salary', 'Communication Skills', 'Accounting']","['UG :Any Graduate in Any Specialization, Graduation Not Required', 'PG :Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeIT-Software, Software Services,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
Trigent,"RoleAccounts Executive/Accountant,","₹ 1,00,000 - 1,50,000 P.A. ",0 years,Chennai( Sholinganallur ),"Job descriptionDear Candidates, Greetings from  Trigent Software pvt ltd. Hiring for Fresher Accounts Process  in Chennai Job Description: Accounts Process Eligibility  Criteria:  Candidates Should have Good communication skills. 2018 and 2019 Batch pass out candidates are Eligible. (***Candidates should have All educational documents in       Hand***) Qualification- B.COM (Accounts Process) 5 days working (Sat and Sun fixed off) Pick and Drop facility both sides (Free of Cost) Shift: Rotational including Night  Salary: 13 K (CTC)  Interested candidates can forward their  resumes to sanjaya_j@trigent.com or  call 9019025827/  9777155135 Kindly refer your friends and help them to find a better opportunity Note:  We do not have any registration charges No Bond to sign   Sanjay  Kumar Jena Call:  9777155135 / 9019025827 Email  ID: sanjay_j@trigent.com Perks and BenefitsCAB+ESIC+PFRoleAccounts Executive/Accountant,Industry TypeAccounting, Finance,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :B.Com in Commerce, B.B.A / B.M.SPG :Any Postgraduate in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsBcomCommunication Skillsaccounts assistantaccountantAccountingaccounts officerAccounts","['Bcom', 'Communication Skills', 'accounts assistant', 'accountant', 'Accounting', 'accounts officer', 'Accounts']","['UG :B.Com in Commerce, B.B.A / B.M.S', 'PG :Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeAccounting, Finance,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
"BNew mobiles pvt. Ltd., (one stop destination for wide range of mobiles & accessories) a retail chain of mobile stores running with 75+ retail outlets across Andhra pradesh & Telangana founded in 2014., fastest growing e-commerce technology company in India. Featuring with wide range of mobiles and accessories in all popular categories such as Samsung, apple, more than 500 employees of b new deals with almost 25,000 customers every day.","RoleFresher,","₹ 1,00,000 - 1,50,000 P.A. ",0 - 2 years,Hyderabad( Patrika Nagar ),"Job descriptionGreetings from BNew  Mobiles Pvt ltd.,    Walk Inn Interviews....    Urgent requirement for below listed jobs roles.     Jr. Accountants,    No. of. vacancy - (5),    0 Yr. - 2 Yr. experience in Book keeping (or)  reconciliation Accounting,    Qualification - B. Com or M. Com or MBA Finances,    Salary best the industry     Day Shift, Male - Female,    Work Location - Madhapur, Hyderabad - TS.     CCTV Operators,    No. of. vacancy - (5),    0 Yr. - 2 Yr. experience in any kind of operating  role,    Qualification - Any Degree or Any P.G    Salary best the industry     Day Shift, Male - Female,    Work Location - Madhapur, Hyderabad - TS.     Tele callers,    No. of. vacancy - (5),    0 Yr. - 2 Yr. experience in Inbound or Outbound calling  process,    Qualification - Any Degree or Any P.G    Salary best the industry     Day Shift, Male - Female,    Work Location - Madhapur, Hyderabad - TS.     Interested Candidates, walk in for direct face to  face interview at below given address from    11-05-2020 to 16-05-2020 10 Am to 5 PM, copy of  resume, photo, Id proof.     Refer and share the above jobs with your friends  and colleague.     BNew Mobiles Pvt Ltd.,    Beside Medicover Hospital (MaxCure),    HUDA Techno Enclave, Patrikanager,    Madhapur, Hyderabad - 500081.    Contact Suresh 7799771164,    Suresh@bnewmobiles.com.  Perks and BenefitsIncentivesRoleFresher,Industry TypeRetail, Wholesale,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryOtherEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillscctv operatorTelecallingoutbound callingaccountingbook keepingcctv monitoringtaxationreconciliationelectronic security operator","['cctv operator', 'Telecalling', 'outbound calling', 'accounting', 'book keeping', 'cctv monitoring', 'taxation', 'reconciliation', 'electronic security operator']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeRetail, Wholesale,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryOther
"TopSource is a global outsourcing specialist. We provide end to end solutions in the fields of accounting, finance and payroll for UK and India based companies. The services that we provide are payroll and accounting outsourcing. We use our product Portico to support and enhance the services that we provide.  For details about Top source, please visit our website: http://www.topsource.in  , http://www.topsource.co.uk","RoleAccounts Executive/Accountant,",Not Disclosed,0 - 3 years,Pune,"Job descriptionJob Title:  Junior Accounts Payable ExecutiveCompany Profile: TopSource is a global outsourcing specialist. We provide end to end solutions in the fields of accounting, finance and payroll for UK and India based companies. The services that we provide are payroll and accounting outsourcing. We use our product Portico to support and enhance the services that we provide.  For details about Top source, please visit our website: http://www.topsource.in  , http://www.topsource.co.uk Job profileThe candidate will be working in Accounts process and mainly will be responsible for the below tasks*Expenses booking and its payment follow up.*Preparing Supplier Reconciliation Statements for various suppliers.*Preparing reports for deletion of entries and for duplicate entries*Supplier Invoice, Payments and  Reconciliation*Preparing monthly reports for due outstanding invoices.*Posting vendor invoices and Cross checking of batches weeklyCandidate Profile*Should have minimum 1 year of experience in Accounts. *BCom/MCom/CA inter/MBA(Finance) *Preference would be given to candidates who have experience in working in outsourcing companies. Personal Characteristics*Should have good written and spoken English.*Motivated, self-starter individual with high level of integrity, intensity and activity with a can-do attitude.*Ability to understand work priority and execute them accordingly*Disciplined process oriented work style*Plan, monitor and manage activities for self*Ability to work  in team.Experience: Min: 1 year Max :7 YrsJob Location :PuneSalary : As per Market standardsContact Person :Pawan Kumar Email id :pawan.burman@topsource.co.in RoleAccounts Executive/Accountant,Industry TypeAccounting, Finance,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :B.Com in CommercePG :MBA/PGDM in Finance, CA in Pursuing , M.Com in CommerceDoctorate :Doctorate Not RequiredKey Skillsbcomaccounts payablemcompaymentsinvoicingaccountingreconciliationexpenses","['bcom', 'accounts payable', 'mcom', 'payments', 'invoicing', 'accounting', 'reconciliation', 'expenses']","['UG :B.Com in Commerce', 'PG :MBA/PGDM in Finance, CA in Pursuing , M.Com in Commerce', 'Doctorate :Doctorate Not Required']","Industry TypeAccounting, Finance,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
"TopSource is a global outsourcing specialist. We provide end to end solutions in the fields of accounting, finance and payroll for UK and India based companies. The services that we provide are payroll and accounting outsourcing. We use our product Portico to support and enhance the services that we provide.  For details about Top source, please visit our website: http://www.topsource.in  , http://www.topsource.co.uk","RoleAccounts Executive/Accountant,",Not Disclosed,0 - 4 years,Pune,"Job descriptionDesignation - Executive India Accounts Company Profile: TopSource is a global outsourcing specialist. We provide end to end solutions in the fields of accounting, finance and payroll for UK and India based companies. The services that we provide are payroll and accounting outsourcing. We use our product Portico to support and enhance the services that we provide.  For details about Top source, please visit our website: http://www.topsource.in  , http://www.topsource.co.ukJob profileThe role of a Executive India Accounts is to ensure that the tasks assigned are completed on time, accurately and completely. He is responsible for understanding the promised service to his client(s). He is responsible for following all the agreed processes and procedures diligently and without any requirement for follow-up from his line manager. His responsibilities includes attending all training programs assigned to him, attend periodic team meetings, feedback sessions and to seek clarifications where the process or deliverables are unclear to him. He is responsible to ensure that his attendance is regular and his absences are planned. The Executive India Accounts reports into the Team Leader and is required to escalate issues to his direct line manager related to client servicing. There are no roles that report into the Executive India Accounts .The Executive India Accounts should have at least 12 months of experience Some of the key the responsibilities include the following:*Preparation of vouchers, data punching in TALLY*Booking of invoice in AP and raising of invoice in AR.*Preparation of ledger, BRS,MIS reporting, Accruals and prepayments.*Preparation of ledger, TDS,GST,monthly Trial Balance , Profit & Loss Account.*Assisting in Finalization of annual accounts*Preparation of MISCandidate Profile*Must have 1 plus years of experience in Accounts.*BCom/MCom/CA inter/MBA(Finance)*Preference would be given to candidates who have experience in working in outsourcing companies.Personal Characteristics* Should have good written and spoken English.* Motivated, self-starter individual with high level of integrity, intensity and activity with a can-do attitude. * Disciplined process oriented work style* Able to work effectively under pressure* Ability to work equally well either independently or as part of a teamExperience: Min:1 Yrs Max: 5 YrsJob Location : PuneSalary : As per Market standardsContact Person : Pawan Burman Email id :pawan.burman@topsource.co.inRoleAccounts Executive/Accountant,Industry TypeAccounting, Finance,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :B.Com in CommercePG :M.Com in Commerce, CA in Pursuing , MBA/PGDM in FinanceDoctorate :Doctorate Not RequiredKey Skillslosstdsbrsgsttrial balanceaccountingvoucherstallyprofit","['loss', 'tds', 'brs', 'gst', 'trial balance', 'accounting', 'vouchers', 'tally', 'profit']","['UG :B.Com in Commerce', 'PG :M.Com in Commerce, CA in Pursuing , MBA/PGDM in Finance', 'Doctorate :Doctorate Not Required']","Industry TypeAccounting, Finance,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
"Marquistech is an integrated Telecom domain company offering business value through innovative and cost-effective service delivery models to customers worldwide. Marquistech provides services for Mobile Handset Application Development and Testing. Marquistech has expanded its development and test service to global markets. The company's field test and application development division has been successfully delivering CDMA and GSM field test services and new application development since 2005. Field testing is carried out across Asia Pacific (APAC), Middle-East Africa (MEA), South-East Asia Pacific (SEAP) & Middle-East North Africa (MENA), Latin America, Saudi, Dubai, South Korea,UK, Australia.","RoleAccounts Executive/Accountant,",Not Disclosed,0 - 2 years,Navi Mumbai,"Job descriptionAccounts,Tally,ExcelRoleAccounts Executive/Accountant,Industry TypeTelcom, ISP,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :B.A in Any Specialization, Any Graduate in Any Specialization, B.Com in CommercePG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey SkillsAccounts Executivetally","['Accounts Executive', 'tally']","['UG :B.A in Any Specialization, Any Graduate in Any Specialization, B.Com in Commerce', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeTelcom, ISP,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
"Soft Suave is a fast growing Information Technology (IT) company headquartered in one of the largest technology-hubs in India Chennai with a sales office in Catonsville, MD United States. Soft Suave is specialized in providing end-to-end IT Services and Solutions to mid-market and Fortune-500 across the USA, UK, Australia, France, Denmark, Iceland, UAE, and India. We have a significant expertise and a best-in-class track record in creating and delivering high-value IT-enabled business solutions. We provide rapid and cost-effective Enterprise Solutions in several key areas including Web Application Development, Mobile Application Development, Cloud Computing and Legacy Modernization.","RoleAccounts Executive/Accountant,",Not Disclosed,0 - 1 years,Chennai,"Job descriptionDear Aspirant,Greetings from Soft Suave Technologies !Are you looking for an opportunity to grow in your career as an Accounts Executive? Need not to wait any longer. Apply for the interviewand get selected for your dream job. Eligibility:B.COM,CA Inter(pursuing) are preferred. Job Position:Accounts/ Finance ExecutiveJob Location:ChennaiApply with your updated resumes.Mail ID:preethi@softsuave.comJob Requirements:Prepare Journal entries, cash and fund transfers.Prepare asset, liability, and capital account entries by compiling and analyzing account information.Secures financial information by completing data base backupsPreparation of daily/weekly/monthly reportsUpdate financial data in databases to ensure that information will be accurate and immediately available when neededConduct thorough financial analysis to provide insight on future business needsAble to prepare financial reports like balance sheet and profit and loss statementPrepare profit and loss statements on behalf of a businessPreparing monthly reconciliations of balance sheet accountsPrepare for and coordinate internal and external audit processesManagement of Petty cashWhy Soft Suave?We believe that work is one of the most important parts of our lives, & also we believe in a winning culture and great benefits:Competitive compensationPaid Training and exposure to all gamut of Human Resource activities with Client interactionsGreat multi-culture & team spiritTeam outings (Sports leagues, Movie nights, Gym membership, Team Lunch, Employee awards etc.)Accommodating LeavesPromotion and Compensation based on individual's performanceThis position is located in our Chennai office, IT hub of India.RoleAccounts Executive/Accountant,Industry TypeIT-Software, Software Services,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :B.Com in CommercePG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillsaccounts executivetdspfpetty cashGstESItallyca inter article assistantmonthly reports","['accounts executive', 'tds', 'pf', 'petty cash', 'Gst', 'ESI', 'tally', 'ca inter article assistant', 'monthly reports']","['UG :B.Com in Commerce', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeIT-Software, Software Services,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
"Protiviti (www.protiviti.in) is a global consulting firm that delivers deep expertise, objective insights,a tailored approach and unparalleled collaboration to help leaders confidently face the future.Through its network of more than 75 offices in over 27 countries, Protiviti and its independentlyowned Member Firms provide clients with consulting solutions in finance, technology, operations,data analytics, governance, risk and internal audit.","RoleAccounts Executive/Accountant,",Not Disclosed,0 - 1 years,Bengaluru,"Job description  Job Description    1.   Your  job is to visit daily one site location within Bangalore which is petrol pump  as allotted by manager.  2.  Visit site and collect bills, voucher, challans from Admin person and feed data  in TALLY on computer allotted by our client at client place.       Preferred Candidate   1.   Must  have atleast six months experience in Accounts.  2.   Must  have worked in TALLY.  3.   Must  be qualified graduate.  4.   Must  be open to travel daily one local location within Bangalore.  5.   Must  be open to work 6 days a week.  6.   Open  to work from 9:30 AM to 6:00 PM.  7.   Must  be open for one year contract.  8.  Must be a male candidate.  9.  Candidate who can join immediate or at the max in one week's time.      Mandatory Criteria:   Should be able to speak in English & Kannada Should be OK travelling within Bangalore Should know Tally and accounting  Should be available for 1 year of Contract    RoleAccounts Executive/Accountant,Industry TypeAccounting, Finance,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey SkillsTallyaccounts executiveAccounting","['Tally', 'accounts executive', 'Accounting']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeAccounting, Finance,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
"'SAG Infotech Private is a Jaipur based IT development and service company that specializes in accounting software products and services. Founded in 1999, Our organization is committed to providing high-quality accounting software, and service for professionals like Chartered Accountants (CA), Company Secretaries (CS), HR Managers, and more. Our software, including Genius and Gen GST software, is being used by thousands of professional companies and individuals around the country. Apart from accounting software, we provide web and mobile development services to various other industries. Recently SAG Infotech has also come up with SAG RTA, Rajasthan's first Registrar and Share Transfer Agent and category 1st RTA Services Provider in Jaipur.'","RoleChartered Accountant,",Not Disclosed,0 - 3 years,Jaipur,"Job descriptionPreparing of final accounts and quarterly TDS returns along with filing thereof in compliance with time and accuracy norms,Providing consultancy for incorporation of return forms and features in the GST and Income tax software.Lead for provid functionality of e-way bill system in the software and any amendments thereof.Evaluating notices and communications issued by the income tax department to various clients and providing customized solutions to resolve them.Mentoring technical support team about newly introduced features and amendments.Handling return filing under Income Tax Act and GST and checking compliance's under various Acts. RoleChartered Accountant,Industry TypeIT-Software, Software Services,Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,Employment TypeFull Time, PermanentRole CategoryAccountsEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsFinal AccountsTDSAccountingTechnical SupportChartered AccountantGstTaxationIncome Tax Software","['Final Accounts', 'TDS', 'Accounting', 'Technical Support', 'Chartered Accountant', 'Gst', 'Taxation', 'Income Tax Software']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeIT-Software, Software Services,","Functional AreaAccounts, Finance, Tax, Company Secretary, Audit,","Employment TypeFull Time, Permanent",Role CategoryAccounts
